Reg;Type;Airline;Time;Date;Flight;From;Found;Source
N380SW;B733;WN;15:46;2007.01.01;WN0000;;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
N483WN;B737;WN;15:46;2007.01.01;WN0430;PVD-TPA-FLL;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
N784SW;B737;WN;15:46;2007.01.01;WN1482;RDU-TPA-AUS-LAX-SJC;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
N785SW;B737;WN;15:46;2007.01.01;WN1513;MDW-FLL;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
N771SA;B737;WN;15:46;2007.01.01;WN2021;MCO-BUF;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
N492WN;B737;WN;15:46;2007.01.01;WN2050;FLL-MCO-PIT;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
N436WN;B737;WN;15:46;2007.01.01;WN2325;BWI-FLL;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
N776WN;B737;WN;15:46;2007.01.01;WN3731;ALB-MCO;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
C-FJVV;DH83;QK;15:46;2007.01.01;QK7838;YYZ-YGK;Toronto, Canada;ACARS LOG 0000 20070101 to 2359 20070101
N321SW;B733;WN;15:46;2007.01.01;WN0000;;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
PH-HZY;B738;HV;15:46;2007.01.01;SY0347;MSP-MCO;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
HA-LOD;B736;MA;15:46;2007.01.01;MA0101;SVO-BUD;acarsd.org home - Hungary appr. 150km from BUD;ACARS LOG 0000 20070101 to 2359 20070101
G-BUSI;A320;BA;15:47;2007.01.01;SHT9K;EGPH-EGLL;Sheffield 53.51N,1.60W 755ft ASL UK;ACARS LOG 0000 20070101 to 2359 20070101
G-TTOH;A320;GT;15:47;2007.01.01;GT04LP;EGKK-GCLP;Watford;ACARS LOG 0000 20070101 to 2359 20070101
PH-BFB;B744;KL;15:47;2007.01.01;KL8613;;Aalborg;ACARS LOG 0000 20070101 to 2359 20070101
N783SW;B737;WN;15:47;2007.01.01;WN3172;IAD-TPA;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
N588NW;B753;NW;15:47;2007.01.01;NW0432;DTW-MCO;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
LZ-WZA;A320;W6;15:47;2007.01.01;W60168;HHN-KTW;nr Frankfurt/Rhein-Main EDDF;ACARS LOG 0000 20070101 to 2359 20070101
TC-JGR;B738;TK;15:47;2007.01.01;TK1589;IST-FRA;Jena, Germany;ACARS LOG 0000 20070101 to 2359 20070101
N656AW;A320;HP;15:47;2007.01.01;HP0472;MSP-PHX-BUR;Houston,Texas USA;ACARS LOG 0000 20070101 to 2359 20070101
N268AT;B737;FL;15:47;2007.01.01;FL0510;FLL-BOS;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
N338NB;A319;NW;15:47;2007.01.01;NW0225;DCA-DTW;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
C-FEKH;E175;AC;15:47;2007.01.01;AC0356;YYZ-BOS;Toronto, Canada;ACARS LOG 0000 20070101 to 2359 20070101
N14916;E145;BTA;15:47;2007.01.01;XE2247;JAX-IAH-SLC;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
EI-DEG;A320;EI;15:47;2007.01.01;EI027F;EIDW-EGBB;ALFRETON;ACARS LOG 0000 20070101 to 2359 20070101
G-EZJB;B737;U2;15:47;2007.01.01;U205FK;EGNT-EGSS;Sheffield 53.31N,1.35W 755ft ASL UK;ACARS LOG 0000 20070101 to 2359 20070101
EC-IJH;A330;TY;15:47;2007.01.01;TY9801;LEMD-MDPC;Near LPFR Portugal;ACARS LOG 0000 20070101 to 2359 20070101
N226JS;CRJ2;JIA;15:47;2007.01.01;US2485;MYR-CLT;Myrtle Beach SC USA;ACARS LOG 0000 20070101 to 2359 20070101
N597JB;A320;JBU;15:47;2007.01.01;B60181;JFK-SAN;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
F-GJVW;A320;AF;15:48;2007.01.01;AF2023;MUC-CDG;Jena, Germany;ACARS LOG 0000 20070101 to 2359 20070101
N667DN;B752;DL;15:48;2007.01.01;DL0891;SJU-MCO;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
N840RG;GLF2;---;15:48;2007.01.01;UV0000;;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
C-FZUB;A320;AC;15:48;2007.01.01;AC0444;YYZ-YOW;Toronto, Canada;ACARS LOG 0000 20070101 to 2359 20070101
OH-LVG;A319;AY;15:48;2007.01.01;AY0707;HEL-DUS;Turku, Finland;ACARS LOG 0000 20070101 to 2359 20070101
ZK-OKE;B772;NZ;15:48;2007.01.01;NZ0001;LHR-LAX-AKL;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
G-EUPO;A319;BA;15:48;2007.01.01;BA0395;EBBR-EGLL;Great Bricett Suffolk;ACARS LOG 0000 20070101 to 2359 20070101
N755US;A319;US;15:48;2007.01.01;US0716;TPA-DCA;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
EI-DEH;A320;EI;15:48;2007.01.01;EI0287;BRS-DUB;Rainford 53.5N,2.8W UK;ACARS LOG 0000 20070101 to 2359 20070101
N14704;B737;CO;15:48;2007.01.01;CO0618;EWR-TPA;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
D-ABTE;B744;LH;15:48;2007.01.01;LH0626;FRA-DXB-AUH;acarsd.org home - Hungary appr. 150km from BUD;ACARS LOG 0000 20070101 to 2359 20070101
N497UA;A320;UA;15:48;2007.01.01;UA1498;ORD-FLL;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
N952AA;B738;AA;15:48;2007.01.01;AA2431;DFW-LAX-SFO;Laurel, MD USA;ACARS LOG 0000 20070101 to 2359 20070101
LN-RMS;MD81;SK;15:48;2007.01.01;SK0527;ARN-LHR;Sweden,Sthlm near ESSA;ACARS LOG 0000 20070101 to 2359 20070101
OY-KBP;A319;SK;15:48;2007.01.01;SK0778;ATH-CPH;Andreas, Dresden, Germany;ACARS LOG 0000 20070101 to 2359 20070101
G-BYGB;B744;BA;15:48;2007.01.01;BA0177;LHR-JFK;Rainford 53.5N,2.8W UK;ACARS LOG 0000 20070101 to 2359 20070101
EC-IZR;A320;IB;15:48;2007.01.01;IB0839;LPA-MAD;Near LPFR Portugal;ACARS LOG 0000 20070101 to 2359 20070101
N763NW;DC9-41;NW;15:49;2007.01.01;NW1451;ORF-DTW-AZO;Laurel, MD USA;ACARS LOG 0000 20070101 to 2359 20070101
F-GTAH;A321;AF;15:49;2007.01.01;AF2040;CDG-AMS;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
G-VROC;B744;VS;15:49;2007.01.01;VS4545;;Watford;ACARS LOG 0000 20070101 to 2359 20070101
HB-JZG;A319;BH;15:49;2007.01.01;DS1045;BSL-AMS;Great Bricett Suffolk;ACARS LOG 0000 20070101 to 2359 20070101
C-GITR;A319;AC;15:49;2007.01.01;AC0998;YYZ-SJO;Toronto, Canada;ACARS LOG 0000 20070101 to 2359 20070101
CN-RNX;A321;AT;15:49;2007.01.01;AT941D;;Near LPFR Portugal;ACARS LOG 0000 20070101 to 2359 20070101
N709TW;B752;AA;15:49;2007.01.01;AA1598;STL-FLL;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
N905DE;MD88;DL;15:49;2007.01.01;DL0654;FLL-JFK;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
G-EMBU;E145;TH;15:49;2007.01.01;TH34CC;EGPH-EGHI;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
G-EZEW;A319;EZY;15:49;2007.01.01;U207LE;EGKK-EGPH;Watford;ACARS LOG 0000 20070101 to 2359 20070101
G-VROC;B744;VS;15:49;2007.01.01;VS45F;;Watford;ACARS LOG 0000 20070101 to 2359 20070101
ZK-NGE;B733;NZ;15:49;2007.01.01;NZ0539;NZAA-NZCH;Auckland New Zealand;ACARS LOG 0000 20070101 to 2359 20070101
PH-MPD;A320;MP;15:49;2007.01.01;MPH0435;EHAM-GCLA;Watford;ACARS LOG 0000 20070101 to 2359 20070101
CS-DNO;H25B;NJE;15:49;2007.01.01;NJE195Y;;Near LPFR Portugal;ACARS LOG 0000 20070101 to 2359 20070101
G-TTOI;A320;GT;15:49;2007.01.01;BA02MX;;Great Bricett Suffolk;ACARS LOG 0000 20070101 to 2359 20070101
PH-BXG;B738;KL;15:49;2007.01.01;KL035N;;EDDH/HAM;ACARS LOG 0000 20070101 to 2359 20070101
G-VROC;B744;VS;15:49;2007.01.01;VSIR45;;Watford;ACARS LOG 0000 20070101 to 2359 20070101
HB-IXK;RJ85;LX;15:49;2007.01.01;LX0781;BRU-ZRH;Leusden, Netherlands;ACARS LOG 0000 20070101 to 2359 20070101
EC-JHK;B738;UX;15:49;2007.01.01;UX9118;MAD-TFN;Near LPFR Portugal;ACARS LOG 0000 20070101 to 2359 20070101
N352NW;A320;NW;15:49;2007.01.01;NW1483;IAD-MSP;Laurel, MD USA;ACARS LOG 0000 20070101 to 2359 20070101
G-MIDY;A320;BD;15:50;2007.01.01;BD07HY;EGLL-EGPH;Rainford 53.5N,2.8W UK;ACARS LOG 0000 20070101 to 2359 20070101
9V-SPA;B744;SQ;15:50;2007.01.01;SIA0308;WSSS-EGLL;Watford;ACARS LOG 0000 20070101 to 2359 20070101
D-ACPB;CRJ7;LH;15:50;2007.01.01;LH01HX;EDDS-EGLL;nr Frankfurt/Rhein-Main EDDF;ACARS LOG 0000 20070101 to 2359 20070101
G-DOCB;B734;BA;15:50;2007.01.01;BA2653;SZG-LGW;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
N965AN;B738;AA;15:50;2007.01.01;AA1578;MIA-ATL;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
N814MD;E170;RW;15:50;2007.01.01;RW3399;BDL-PHL;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
D-AGER;B737;HLX;15:50;2007.01.01;X3741M;;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
N41104;E145;BTA;15:50;2007.01.01;XE2129;PBC-IAH-GSO;Houston,Texas USA;ACARS LOG 0000 20070101 to 2359 20070101
A4O-KD;A330;GF;15:50;2007.01.01;GF0003;BAH-LHR;acarsd.org home - Hungary appr. 150km from BUD;ACARS LOG 0000 20070101 to 2359 20070101
N555AN;MD82;AA;15:50;2007.01.01;AA1445;IND-DFW-SFO;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
D-ABDF;A320;AB;15:50;2007.01.01;AB0876;EDDT-LOWW;Austria near LOWW / VIE;ACARS LOG 0000 20070101 to 2359 20070101
D-ABDF;A320;AB;15:50;2007.01.01;AB876V;;Austria near LOWW / VIE;ACARS LOG 0000 20070101 to 2359 20070101
G-BYGE;B744;BA;15:50;2007.01.01;BA0049;EGLL-SEA;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
EI-PAT;B462;WX;15:50;2007.01.01;WX500F;LFPG-EIDW;Rainford 53.5N,2.8W UK;ACARS LOG 0000 20070101 to 2359 20070101
N954AN;B738;AA;15:50;2007.01.01;AA1366;MSP-MIA;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
B-16481;B744;BR;15:50;2007.01.01;BR0661;;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
G-VROC;B744;VS;15:50;2007.01.01;VS4IR45;;Watford;ACARS LOG 0000 20070101 to 2359 20070101
HA-LOR;B737;MA;15:50;2007.01.01;MA0554;BUD-CDG;Jena, Germany;ACARS LOG 0000 20070101 to 2359 20070101
N124US;A320;US;15:50;2007.01.01;US0731;PHL-CLT;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
N936AN;B738;AA;15:50;2007.01.01;AA0695;DCA-MIA;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
I-BIME;A319;AZ;15:51;2007.01.01;AZ0426;MXP-TXL;Switzerland, Aarau;ACARS LOG 0000 20070101 to 2359 20070101
N496AA;MD82;AA;15:51;2007.01.01;AA1175;ORD-SAT;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
EC-FGM;MD88;IB;15:51;2007.01.01;IB2962;SVQ-TFN;Near LPFR Portugal;ACARS LOG 0000 20070101 to 2359 20070101
N371NB;A319;NW;15:51;2007.01.01;NW0384;DTW-BOS;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
F-GUGE;A318;AF;15:51;2007.01.01;AF174M;EHAM-LFPG;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
N19638;B735;CO;15:51;2007.01.01;CO0588;YYZ-EWR;Toronto, Canada;ACARS LOG 0000 20070101 to 2359 20070101
N627QS;C560;---;15:51;2007.01.01;GS0001;;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
G-DOCE;B734;BA;15:51;2007.01.01;BA2602;EGKK-LIRP;Great Bricett Suffolk;ACARS LOG 0000 20070101 to 2359 20070101
N377AN;B763;AA;15:51;2007.01.01;AA0000;;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
N183JB;E190;JBU;15:51;2007.01.01;B61048;BNA-JFK;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
N318US;A320;NW;15:51;2007.01.01;NW0327;DTW-LAX;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
N24715;B737;CO;15:51;2007.01.01;CO1620;EWR-EGE;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
D-ABJA;B735;LH;15:51;2007.01.01;LH09TV;;Jena, Germany;ACARS LOG 0000 20070101 to 2359 20070101
G-EZBG;A319;U2;15:52;2007.01.01;U27306;LSGG-EGGP;Great Bricett Suffolk;ACARS LOG 0000 20070101 to 2359 20070101
VP-BWJ;A319;SU;15:52;2007.01.01;SU0220;ARN-SVO;Turku, Finland;ACARS LOG 0000 20070101 to 2359 20070101
N987US;DC9-32;NW;15:52;2007.01.01;NW0822;IND-MCO;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
HB-JZM;A319;DS;15:52;2007.01.01;DS09NK;LSGG-EGKK;Great Bricett Suffolk;ACARS LOG 0000 20070101 to 2359 20070101
N558JB;A320;JBU;15:52;2007.01.01;B60216;LGB-JFK;Baltimore, MD, USA;ACARS LOG 0000 20070101 to 2359 20070101
9M-MPP;B744;MH;15:52;2007.01.01;MH0004;WMKK-EGLL;Jena, Germany;ACARS LOG 0000 20070101 to 2359 20070101
CN-ROE;B738;AT;15:52;2007.01.01;AT0851;AMS-CMN;Near LPFR Portugal;ACARS LOG 0000 20070101 to 2359 20070101
EI-CNB;B462;WX;15:52;2007.01.01;WX5009;EIDW-LFPG;Rainford 53.5N,2.8W UK;ACARS LOG 0000 20070101 to 2359 20070101
5Y-VIP;A310;QSC;15:52;2007.01.01;QSC131;;4 miles SW EGSH;ACARS LOG 0000 20070101 to 2359 20070101
D-AILK;A319;4U;15:52;2007.01.01;4U0721;WAW-CGN;Andreas, Dresden, Germany;ACARS LOG 0000 20070101 to 2359 20070101
OH-LEK;E170;AY;15:52;2007.01.01;AY0325;HEL-VAA;Turku, Finland;ACARS LOG 0000 20070101 to 2359 20070101
N702AE;E135;MQ;15:52;2007.01.01;MQ4543;;Laurel, MD;ACARS LOG 0000 20070101 to 2359 20070101
N533UA;B752;UA;15:52;2007.01.01;UA8173;MCO-YYZ;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
G-EZEU;A319;EZY;15:53;2007.01.01;U24511;SXF-MAD;Andreas, Dresden, Germany;ACARS LOG 0000 20070101 to 2359 20070101
G-OOOB;B752;5W;15:53;2007.01.01;5W0071;LGW-FNA;Watford;ACARS LOG 0000 20070101 to 2359 20070101
N516JB;A320;JBU;15:53;2007.01.01;B60092;LGB-SLC-JFK;Baltimore, MD, USA;ACARS LOG 0000 20070101 to 2359 20070101
EI-DCS;B738;FR;15:53;2007.01.01;FR1952;;Hamburg 166 Beta 7;ACARS LOG 0000 20070101 to 2359 20070101
PH-BDW;B734;KL;15:53;2007.01.01;KL1201;AMS-SVG;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
C-FNVU;A320;AC;15:53;2007.01.01;AC1206;YUL-MCO;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
N7549A;MD82;AA;15:53;2007.01.01;AA0858;ORD-MSY;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
PH-KBX;F70;---;15:53;2007.01.01;AA0000;;EDDH/HAM;ACARS LOG 0000 20070101 to 2359 20070101
G-CPEN;B752;BA;15:53;2007.01.01;BA0480;EGLL-LEBL;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
EI-DAO;B738;FR;15:53;2007.01.01;FR9819;LFBL-EGGP;Rainford 53.5N,2.8W UK;ACARS LOG 0000 20070101 to 2359 20070101
EI-CPE;A321;EI;15:53;2007.01.01;EI0165;LHR-DUB;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
N839MH;B764;DL;15:54;2007.01.01;DL1818;ATL-FLL;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
LN-ROZ;MD87;SK;15:54;2007.01.01;SK0559;CPH-CDG;EDDH/HAM;ACARS LOG 0000 20070101 to 2359 20070101
EC-IMB;A320;JK;15:54;2007.01.01;JK5129;FUE-MAD;Near LPFR Portugal;ACARS LOG 0000 20070101 to 2359 20070101
N660CL;E145;MQ;15:54;2007.01.01;MQ4081;;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
F-GRHM;A319;AF;15:54;2007.01.01;AF1739;VIE-CDG;Austria near LOWW / VIE;ACARS LOG 0000 20070101 to 2359 20070101
EI-DCZ;B738;FR;15:54;2007.01.01;RY2635;;Rainford 53.5N,2.8W UK;ACARS LOG 0000 20070101 to 2359 20070101
SP-LDB;E170;LO;15:54;2007.01.01;LO0355;GDN-FRA;Andreas, Dresden, Germany;ACARS LOG 0000 20070101 to 2359 20070101
HA-LPC;A320;W6;15:54;2007.01.01;WZ0135;KTW-BGY;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
N400AA;MD82;AA;15:54;2007.01.01;AA0376;ORD-LGA;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
D-AGES;B737;HLX;15:54;2007.01.01;X33361;OPO-CGN;nr Frankfurt/Rhein-Main EDDF;ACARS LOG 0000 20070101 to 2359 20070101
N526AU;B733;US;15:54;2007.01.01;US1879;PVD-PHL-ATL;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
N7541A;MD82;AA;15:55;2007.01.01;AA1510;DFW-DTW;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
N641UA;B763;UA;15:55;2007.01.01;UA0922;ORD-IAD-LHR;Laurel, MD USA;ACARS LOG 0000 20070101 to 2359 20070101
HA-LNB;CRJ2;MA;15:55;2007.01.01;MA0666;BUD-AMS;Germany;ACARS LOG 0000 20070101 to 2359 20070101
N937AT;B712;FL;15:55;2007.01.01;FL0268;DTW-TPA;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
N11140;E145;BTA;15:55;2007.01.01;XE2416;EWR-SAV;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
N8390A;CRJ2;FLG;15:55;2007.01.01;9E2998;DSM-DCA;Laurel, MD USA;ACARS LOG 0000 20070101 to 2359 20070101
C-FDJA;CRJ2;QK;15:55;2007.01.01;QK7974;YYZ-RDU;Toronto, Canada;ACARS LOG 0000 20070101 to 2359 20070101
D-ABEW;B733;LH;15:55;2007.01.01;LH0189;TXL-FRA;Jena, Germany;ACARS LOG 0000 20070101 to 2359 20070101
N131DN;B763;DL;15:55;2007.01.01;DL0622;MCO-ATL;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
N800AY;CRJ2;FLG;15:55;2007.01.01;9E4794;IND-PHL;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
LN-RKF;A340;SK;15:55;2007.01.01;SK0983;CPH-NRT;Copenhagen, Denmark;ACARS LOG 0000 20070101 to 2359 20070101
F-GUGM;A318;AF;15:55;2007.01.01;AF2959;RBA-CDG;Near LPFR Portugal;ACARS LOG 0000 20070101 to 2359 20070101
N586NK;A321;NK;15:55;2007.01.01;NK0801;DTW-MCO;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
G-VROC;B744;VS;15:55;2007.01.01;VS45I;;Rainford 53.5N,2.8W UK;ACARS LOG 0000 20070101 to 2359 20070101
N808QS;C525;---;15:55;2007.01.01;GS0001;;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
EI-DLC;B738;FR;15:55;2007.01.01;FR3257;LFTW-EGGW;Watford;ACARS LOG 0000 20070101 to 2359 20070101
OH-LXL;A320;AY;15:55;2007.01.01;AY0817;HEL-BRU;Turku, Finland;ACARS LOG 0000 20070101 to 2359 20070101
LN-BRE;B734;SK;15:55;2007.01.01;SK4684;AGP-OSL;2 miles SE of SPL/EHAM NL;ACARS LOG 0000 20070101 to 2359 20070101
N528JB;A320;JBU;15:55;2007.01.01;B60101;JFK-OAK;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
N192JB;E190;JBU;15:55;2007.01.01;B61265;BOS-CMH;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
D-AIPA;A320;LH;15:55;2007.01.01;LH8951;;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
B-2386;A340;CA;15:56;2007.01.01;CA0933;PEK-CDG;Turku, Finland;ACARS LOG 0000 20070101 to 2359 20070101
G-GBTA;B734;BA;15:56;2007.01.01;BA2775;KRK-LGW;Andreas, Dresden, Germany;ACARS LOG 0000 20070101 to 2359 20070101
N711MC;GLEX;---;15:56;2007.01.01;XA0001;;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
LX-RCV;B744;CV;15:56;2007.01.01;CV779Q;;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
G-GBTB;B734;BA;15:56;2007.01.01;BA2541;FCO-LGW;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
D-ABXS;B733;LH;15:56;2007.01.01;LH0018;FRA-HAM;Jena, Germany;ACARS LOG 0000 20070101 to 2359 20070101
G-EZJK;B737;U2;15:56;2007.01.01;U202MU;EDDB-EGGW;Hamburg 166 Beta 7;ACARS LOG 0000 20070101 to 2359 20070101
N604AT;B712;FL;15:56;2007.01.01;FL0810;ROC-BOS-MCO;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
N823MD;E170;RPA;15:56;2007.01.01;RW3324;DCA-PHL;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
G-VROC;B744;VS;15:56;2007.01.01;6RIR45;;Rainford 53.5N,2.8W UK;ACARS LOG 0000 20070101 to 2359 20070101
PH-BDO;B733;KL;15:56;2007.01.01;KL0000;;2 miles SE of SPL/EHAM NL;ACARS LOG 0000 20070101 to 2359 20070101
G-VROC;B744;VS;15:56;2007.01.01;4RIR45;;Rainford 53.5N,2.8W UK;ACARS LOG 0000 20070101 to 2359 20070101
N336AA;B762;AA;15:56;2007.01.01;AA0000;;Laurel, MD;ACARS LOG 0000 20070101 to 2359 20070101
N508US;B752;NW;15:56;2007.01.01;NW1109;RSW-DTW-PHL;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
G-CPEO;B752;BA;15:56;2007.01.01;BA0460;LHR-MAD;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
C-FEJC;E175;AC;15:56;2007.01.01;AC1044;YYZ-DFW;Toronto, Canada;ACARS LOG 0000 20070101 to 2359 20070101
N14907;E145;BTA;15:56;2007.01.01;XE2625;EWR-BHM-IAH;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
N607JB;A320;JBU;15:57;2007.01.01;B60719;JFK-NAS;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
G-TTOG;A320;GT;15:57;2007.01.01;GT075U;LPMA-EGKK;Rainford 53.5N,2.8W UK;ACARS LOG 0000 20070101 to 2359 20070101
PH-KCD;MD11;KL;15:57;2007.01.01;KL0742;LIM-BON-AMS;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
EI-DLG;B738;FR;15:57;2007.01.01;FR2337;EPPO-EGSS;Hamburg 166 Beta 7;ACARS LOG 0000 20070101 to 2359 20070101
EC-JXV;A319;IB;15:57;2007.01.01;IB3115;LIS-MAD;Near LPFR Portugal;ACARS LOG 0000 20070101 to 2359 20070101
G-EUPJ;A319;BA;15:57;2007.01.01;BA0985;TXL-LHR;Hamburg 166 Beta 7;ACARS LOG 0000 20070101 to 2359 20070101
OY-KHC;MD82;SK;15:57;2007.01.01;SK1523;ARN-LHR;Aalborg;ACARS LOG 0000 20070101 to 2359 20070101
OK-WGX;B734;OK;15:57;2007.01.01;OK0761;CDG-PRG;Jena, Germany;ACARS LOG 0000 20070101 to 2359 20070101
C-FDCZ;B735;CJA;15:57;2007.01.01;C68810;YHZ-MDPP;Laurel, MD USA;ACARS LOG 0000 20070101 to 2359 20070101
D-AIGX;A340;LH;15:57;2007.01.01;LH0714;MUC-NRT;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
N424UA;A320;UA;15:57;2007.01.01;UA0745;;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
C-FSJF;CRJ1;AC;15:58;2007.01.01;QK7650;YUL-DCA;Laurel, MD;ACARS LOG 0000 20070101 to 2359 20070101
G-CPEO;B752;BA;15:58;2007.01.01;BA43LM;EGLL-LEMD;Watford;ACARS LOG 0000 20070101 to 2359 20070101
N354NW;A320;NW;15:58;2007.01.01;NW0853;MKE-MCO;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
LN-RCU;B736;SK;15:58;2007.01.01;CNO824;AMS-OSL;Aalborg;ACARS LOG 0000 20070101 to 2359 20070101
HL7539;A330;KE;15:58;2007.01.01;KE0935;ICN-PRG;Turku, Finland;ACARS LOG 0000 20070101 to 2359 20070101
N8604C;CRJ2;FLG;15:58;2007.01.01;9E2861;YYZ-DTW-DAY;Toronto, Canada;ACARS LOG 0000 20070101 to 2359 20070101
D-AICN;A320;CFG;15:58;2007.01.01;DE0801;;Near LPFR Portugal;ACARS LOG 0000 20070101 to 2359 20070101
N548UA;B752;UA;15:58;2007.01.01;UA0387;OAK-DEN;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
D-ABJC;B735;LH;15:58;2007.01.01;LH0054;MUC-HAM;Jena, Germany;ACARS LOG 0000 20070101 to 2359 20070101
B-18202;B744;CA;15:58;2007.01.01;CI1012;;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
JA8920;B744;JL;15:58;2007.01.01;JL0417;NRT-MXP;Turku, Finland;ACARS LOG 0000 20070101 to 2359 20070101
4X-ELB;B744;LY;15:58;2007.01.01;LY0316;EGLL-LLBG;Watford;ACARS LOG 0000 20070101 to 2359 20070101
N818AE;E140;MQ;15:58;2007.01.01;MQ4912;;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
CS-DRE;H25B;NJE;15:58;2007.01.01;NJE397A;EGAC-EGBJ-EGGW;Watford;ACARS LOG 0000 20070101 to 2359 20070101
D-ABXX;B733;LH;15:58;2007.01.01;LH057E;;nr Frankfurt/Rhein-Main EDDF;ACARS LOG 0000 20070101 to 2359 20070101
OH-LEH;E170;AY;15:59;2007.01.01;AY0937;HEL-MAN;Karlstad, Sweden;ACARS LOG 0000 20070101 to 2359 20070101
OH-LZB;A321;AY;15:59;2007.01.01;AY0429;HEL-RVN;Turku, Finland;ACARS LOG 0000 20070101 to 2359 20070101
B-2467;B744;CA;15:59;2007.01.01;CA0931;SHE-PEK-FRA;Turku, Finland;ACARS LOG 0000 20070101 to 2359 20070101
