SBS-1 Log from KAMPENHOUT for 08/03/2015. Times are LOCAL.
Author skystef
Created by Active Display Lite v1.64.0.30

Code   CallSign Reg      ICAO FAlt  LAlt  Date/Time (dd/mm/yyyy)
896172 UAE9757  A6-EFL   B77L 36000 8450  08/03/2015 05:35:24
750290 MAS2     9M-MNC   A388 40000 29725 08/03/2015 05:36:59
400683 -------- G-VIIK   B772 35825 35475 08/03/2015 05:37:27
3C651A DLH443   D-AIHZ   A346 35050 22850 08/03/2015 05:38:10
44CCD9 BEL465   OO-SFY   A332 7350  0     08/03/2015 05:38:56
484123 P4KUL    P4-KUL   E135 30575 37000 08/03/2015 05:40:14
484415 -------- PH-BQL   B772 19475 19325 08/03/2015 05:42:44
76CD69 SIA322   9V-SKI   A388 38000 34550 08/03/2015 05:43:00
A92DDF UAL106   N69059   B764 34975 35000 08/03/2015 05:44:52
3C4AA9 CFG121   D-ABUI   B763 38000 38025 08/03/2015 05:45:27
3C6573 DLH411   D-AIKS   A333 37000 37000 08/03/2015 05:49:27
885177 THA934   HS-TKW   B77W 8100  -50   08/03/2015 05:51:15
3C4B02 BER7009  D-ABXB   A332 36000 26650 08/03/2015 05:52:32
44CCCD BEL358   OO-SFM   A333 8325  0     08/03/2015 05:54:54
A65CCE N509QS   N509QS   GLF5 45000 45000 08/03/2015 05:55:36
8852A3 -------- HS-TUC   A388 30425 29625 08/03/2015 05:55:57
AB6C08 DAL14    N835MH   B764 34975 25825 08/03/2015 05:56:42
40040F BAW106   G-BNLP   B744 38000 38000 08/03/2015 05:57:09
AE1233 RCH120   03-3122  C17  34000 34000 08/03/2015 05:58:07
484C59 TRA607   PH-HSB   B738 8750  35975 08/03/2015 05:58:21
48436F -------- PH-BQH   B772 18450 18075 08/03/2015 06:00:02
3C7205 BER7001  D-ALPE   A332 36000 24050 08/03/2015 06:00:43
3C4B03 BER7403  D-ABXC   A332 37000 23925 08/03/2015 06:01:06
AA44CF UAL132   N76064   B764 36000 36975 08/03/2015 06:01:31
4841BA KLM1720  PH-KZR   F70  -25   7350  08/03/2015 06:01:46
4BD147 CAI020   TC-TJG   B738 11075 22775 08/03/2015 06:03:51
896385 ETD45    A6-EYT   A332 40000 40000 08/03/2015 06:03:57
C058DD ACA84    C-GHQY   B788 39000 38975 08/03/2015 06:04:21
44A826 JAF1AL   OO-JAF   B738 325   12650 08/03/2015 06:05:54
06A047 QTR021   A7-ACI   A332 40000 40000 08/03/2015 06:05:57
3C4B2B DLH431   D-ABYK   B748 37000 25375 08/03/2015 06:06:59
AB35D3 -------- N821NW   A333 17975 17925 08/03/2015 06:07:06
3C4ABA CFG169   D-ABUZ   B763 34000 34000 08/03/2015 06:07:11
3C7206 BER7249  D-ALPF   A332 39000 39000 08/03/2015 06:08:08
44A9F3 JAF4GB   OO-JOS   B737 125   22375 08/03/2015 06:08:15
3C7208 BER7451  D-ALPH   A332 37000 17375 08/03/2015 06:08:21
4B9902 FHY307   TC-FHB   A320 11600 -50   08/03/2015 06:09:06
4950D4 NAX4242  CS-TFT   B763 36000 36975 08/03/2015 06:09:41
880041 THA910   HS-TGZ   B744 36000 33800 08/03/2015 06:09:45
4841D9 TRA121   PH-XRX   B737 8425  17825 08/03/2015 06:10:40
440002 AUA88    OE-LPA   B772 38000 39000 08/03/2015 06:11:32
44A8AD JAF9EK   OO-JEM   E190 250   10800 08/03/2015 06:11:53
AA79A6 UAL950   N774UA   B772 23350 0     08/03/2015 06:12:09
88801A HVN19    VN-A143  B772 30975 29150 08/03/2015 06:12:49
44D068 TCW7816  OO-TCH   A320 400   20225 08/03/2015 06:13:24
4841A5 TRA85N   PH-HZN   B738 9350  36125 08/03/2015 06:14:02
484C5A -------- PH-HSC   B738 9825  18425 08/03/2015 06:14:55
44CCD7 BEL502   OO-SFW   A333 21725 0     08/03/2015 06:14:58
06A143 -------- A7-APB   A388 29375 28150 08/03/2015 06:15:34
44A839 JAF8CB   OO-JAY   B738 250   14975 08/03/2015 06:15:35
AA9249 UAL999   N780UA   B772 22975 0     08/03/2015 06:17:20
49528B TAP611A  CS-TTK   A319 200   18600 08/03/2015 06:17:27
780A18 CPA255   B-KPW    B77W 36000 29075 08/03/2015 06:18:47
A081CA UAL124   N13138   B752 36975 37000 08/03/2015 06:20:00
4D00F5 -------- LX-LGV   B738 ----- ----- 08/03/2015 06:20:22
3C6515 DLH427   D-AIHU   A346 41000 24725 08/03/2015 06:21:00
A880FF UAL878   N647UA   B763 19175 16625 08/03/2015 06:21:06
